日期,股票代码,收盘,开盘,最高,最低,成交量,成交额
2026-05-08,2181,18.35,18.6,19.04,17.72,113614013,2078207872.0
2026-05-11,2181,19.06,18.35,19.2,18.11,114654140,2139530752.0
2026-05-12,2181,18.65,18.88,19.2,17.6,92877440,1722994688.0
2026-05-13,2181,17.9,18.82,20.0,17.9,114712248,2133033472.0
2026-05-14,2181,17.9,18.11,18.6,17.2,92950889,1669243520.0
2026-05-15,2181,19.69,17.7,19.69,17.48,100911696,1945481728.0
2026-05-18,2181,17.72,20.94,21.66,17.72,181354208,3401402112.0
2026-05-19,2181,15.95,16.37,16.73,15.95,101191292,1629205504.0
2026-05-20,2181,14.49,14.85,15.42,14.46,141747491,2099661184.0
2026-05-21,2181,13.65,14.52,14.67,13.58,110819384,1560477696.0
2026-05-22,2181,13.75,13.73,14.07,13.55,85099440,1172319232.0
2026-05-25,2181,13.17,13.59,13.89,12.98,80307800,1061802880.0
2026-05-26,2181,14.49,12.99,14.49,12.69,135594864,1868229632.0
2026-05-27,2181,15.0,14.51,15.87,13.9,160942000,2384679680.0
2026-05-28,2181,16.0,14.7,16.28,14.7,126886832,1951669888.0
2026-05-29,002181,16.51,15.70,17.00,15.30,1271948,0.0
